HF_ccsdT_5z, -100.0705896917, -100.0710124373, -100.0701670693, -100.0708260573, -100.0703535135, -100.0705141212, -100.0706653195
HF_ccsdT_dz, -100.0336582470, -100.0340838056, -100.0332327825, -100.0338971227, -100.0334195409, -100.0335822814, -100.0337342661
HF_ccsdT_qz, -100.0686642899, -100.0690873628, -100.0682413346, -100.0689007546, -100.0684280109, -100.0685887061, -100.0687399311
HF_ccsdT_tz, -100.0612497364, -100.0616732904, -100.0608262913, -100.0614866818, -100.0610129718, -100.0611740409, -100.0613254889
NH_ccsdT_5z, -54.9862904979, -54.9867567096, -54.9858245345, -54.9866965517, -54.9858849963, -54.9862263104, -54.9863547935
NH_ccsdT_dz, -54.9721933188, -54.9726608812, -54.9717259447, -54.9726040189, -54.9717831397, -54.9721287669, -54.9722579769
NH_ccsdT_qz, -54.9856278457, -54.9860943131, -54.9851616172, -54.9860339553, -54.9852222824, -54.9855636664, -54.9856921329
NH_ccsdT_tz, -54.9827258628, -54.9831927793, -54.9822591691, -54.9831323701, -54.9823198922, -54.9826616286, -54.9827902045
OH_ccsdT_5z, -75.4279025434, -75.4284016829, -75.4274036501, -75.4284645408, -75.4273414085, -75.4279717166, -75.4278334489
OH_ccsdT_dz, -75.4038514705, -75.4042531725, -75.4034498590, -75.4044193987, -75.4032843376, -75.4039211991, -75.4037818183
OH_ccsdT_qz, -75.4267195588, -75.4272190454, -75.4262203103, -75.4272817518, -75.4261582234, -75.4267887400, -75.4266504561
OH_ccsdT_tz, -75.4218315847, -75.4223318409, -75.4213315547, -75.4223946120, -75.4212693952, -75.4219008595, -75.4217623879
PH_ccsdT_5z, -341.3023970740, -341.3034684940, -341.3013270501, -341.3035525440, -341.3012495620, -341.3024173985, -341.3023770410
PH_ccsdT_dz, -341.2885301475, -341.2896055046, -341.2874558069, -341.2896977539, -341.2873702003, -341.2885519698, -341.2885086097
PH_ccsdT_qz, -341.3019895752, -341.3030612173, -341.3009193061, -341.3031451388, -341.3008419650, -341.3020099050, -341.3019695368
PH_ccsdT_tz, -341.2991833959, -341.3002566205, -341.2981114421, -341.3003401563, -341.2980345465, -341.2992039561, -341.2991631262
