HF_ccsdT_5z, -100.45182396, -100.45225684, -100.45139123, -100.45207324, -100.45157489, -100.45175306, -100.45189493
HF_ccsdT_dz, -100.30598028, -100.26773426, -100.26685425, -100.26755233, -100.26703626, -100.26722388, -100.26736458
HF_ccsdT_qz, -100.44204975, -100.44248337, -100.44161627, -100.44229970, -100.44180001, -100.44197894, -100.44212062
HF_ccsdT_tz, -100.41083264, -100.41126786, -100.41039756, -100.41108481, -100.41058068, -100.41076209, -100.41090325
NH_ccsdT_5z, -55.21753162, -55.21800500, -55.21705852, -55.21794131, -55.21712251, -55.21747109, -55.21759226
NH_ccsdT_dz, -55.14507886, -55.14555859, -55.14459936, -55.14550441, -55.14465388, -55.14501956, -55.14513828
NH_ccsdT_qz, -55.21312952, -55.21360350, -55.21265581, -55.21354002, -55.21271959, -55.21306913, -55.21319002
NH_ccsdT_tz, -55.19811982, -55.19859530, -55.19764461, -55.19853301, -55.19770721, -55.19805978, -55.19817998
OH_ccsdT_5z, -75.73219247, -75.73270148, -75.73168375, -75.73274989, -75.73163599, -75.73225749, -75.73212754
OH_ccsdT_dz, -75.62487285, -75.62528733, -75.62445849, -75.62543991, -75.62430666, -75.62493705, -75.62480874
OH_ccsdT_qz, -75.72520982, -75.72562134, -75.72479844, -75.72576764, -75.72465292, -75.72527471, -75.72514501
OH_ccsdT_tz, -75.70259467, -75.70310693, -75.70208269, -75.70315385, -75.70203640, -75.70265924, -75.70253018
PH_ccsdT_5z, -341.85345939, -341.85452441, -341.85239580, -341.85457825, -341.85234843, -341.85347658, -341.85344250
PH_ccsdT_dz, -341.61156988, -341.61265303, -341.61048784, -341.61271407, -341.61043338, -341.61158645, -341.61155360
PH_ccsdT_qz, -341.82673515, -341.82780153, -341.82567016, -341.82785502, -341.82562317, -341.82675218, -341.82671841
PH_ccsdT_tz, -341.76331815, -341.76438922, -341.76224837, -341.76444135, -341.76220281, -341.76333479, -341.76330180
