HF_ccsdT_5z, -100.44277781, -100.44320873, -100.44234704, -100.44302480, -100.44253104, -100.44270620, -100.44284949
HF_ccsdT_dz, -100.30159131, -100.26346426, -100.26258704, -100.26328169, -100.26276968, -100.26295467, -100.26309657
HF_ccsdT_qz, -100.43323533, -100.43366701, -100.43280379, -100.43348298, -100.43298789, -100.43316382, -100.43330691
HF_ccsdT_tz, -100.40270978, -100.40314310, -100.40227659, -100.40295964, -100.40246012, -100.40263853, -100.40278109
NH_ccsdT_5z, -55.21237169, -55.21284371, -55.21189994, -55.21277959, -55.21196435, -55.21231062, -55.21243286
NH_ccsdT_dz, -55.14242809, -55.14290668, -55.14194973, -55.14285167, -55.14200508, -55.14236832, -55.14248798
NH_ccsdT_qz, -55.20810198, -55.20857461, -55.20762961, -55.20851067, -55.20769385, -55.20804105, -55.20816301
NH_ccsdT_tz, -55.19351611, -55.19399024, -55.19304223, -55.19392743, -55.19310535, -55.19345553, -55.19357680
OH_ccsdT_5z, -75.72505420, -75.72556104, -75.72454764, -75.72561171, -75.72449761, -75.72511987, -75.72498862
OH_ccsdT_dz, -75.62129271, -75.62170598, -75.62087955, -75.62185968, -75.62072659, -75.62135750, -75.62122800
OH_ccsdT_qz, -75.71825789, -75.71866787, -75.71784806, -75.71881580, -75.71770090, -75.71832344, -75.71819243
OH_ccsdT_tz, -75.69620181, -75.69671191, -75.69569198, -75.69676105, -75.69564347, -75.69626704, -75.69613667
PH_ccsdT_5z, -341.84441321, -341.84547730, -341.84335052, -341.84553390, -341.84330036, -341.84443073, -341.84439598
PH_ccsdT_dz, -341.60803024, -341.60911203, -341.60694954, -341.60917423, -341.60689390, -341.60804709, -341.60801369
PH_ccsdT_qz, -341.81809688, -341.81916228, -341.81703287, -341.81921845, -341.81698317, -341.81811424, -341.81807982
PH_ccsdT_tz, -341.75590563, -341.75697556, -341.75483698, -341.75703012, -341.75478897, -341.75592260, -341.75588895
