HF_ccsdT_5z, -100.44485686, -100.44529309, -100.44442078, -100.44510718, -100.44460675, -100.44478561, -100.44492817
HF_ccsdT_dz, -100.29735739, -100.26024597, -100.25936130, -100.26006161, -100.25954574, -100.25973272, -100.25987449
HF_ccsdT_qz, -100.43355267, -100.43398954, -100.43311595, -100.43380362, -100.43330193, -100.43348152, -100.43362389
HF_ccsdT_tz, -100.40113235, -100.40157050, -100.40069434, -100.40138513, -100.40087977, -100.40106137, -100.40120340
NH_ccsdT_5z, -55.19542542, -55.19589937, -55.19495176, -55.19583244, -55.19501898, -55.19536329, -55.19548766
NH_ccsdT_dz, -55.12041227, -55.12089145, -55.11993332, -55.12083332, -55.11999179, -55.12035084, -55.12047381
NH_ccsdT_qz, -55.18993486, -55.19040937, -55.18946061, -55.19034278, -55.18952750, -55.18987287, -55.18999695
NH_ccsdT_tz, -55.17341472, -55.17389055, -55.17293915, -55.17382517, -55.17300485, -55.17335301, -55.17347655
OH_ccsdT_5z, -75.71450625, -75.71501719, -75.71399561, -75.71506649, -75.71394695, -75.71457234, -75.71444025
OH_ccsdT_dz, -75.60524748, -75.60566220, -75.60483288, -75.60581682, -75.60467900, -75.60531310, -75.60518195
OH_ccsdT_qz, -75.70613397, -75.70654678, -75.70572131, -75.70669460, -75.70557427, -75.70619994, -75.70606809
OH_ccsdT_tz, -75.68203374, -75.68254750, -75.68152026, -75.68259566, -75.68147272, -75.68209947, -75.68196809
PH_ccsdT_5z, -341.82437154, -341.82544016, -341.82330436, -341.82549440, -341.82325662, -341.82438925, -341.82435413
PH_ccsdT_dz, -341.58449401, -341.58557787, -341.58341123, -341.58564569, -341.58335003, -341.58451253, -341.58447578
PH_ccsdT_qz, -341.79598713, -341.79705715, -341.79491851, -341.79711114, -341.79487106, -341.79600464, -341.79596991
PH_ccsdT_tz, -341.73192408, -341.73299845, -341.73085102, -341.73305201, -341.73080407, -341.73194138, -341.73190708
