C2H_B97M-rV_aug-pc-4, -12.9131, 0.0000, -12.9131, -0.0000, -0.0000, -9.0120
C2H_B97M-V_aug-pc-4, -12.9108, 0.0000, -12.9108, 0.0000, -0.0000, -9.0109
C2H_M08-HX_aug-pc-4, -12.9854, 0.0000, -12.9854, 0.0000, 0.0000, -8.9589
C2H_mPW91_aug-pc-4, -12.8451, -0.0000, -12.8451, 0.0000, -0.0000, -9.1125
C2H_pbe0, -12.8732, 0.0000, -12.8732, 0.0000, -0.0000, -8.9147
C2H_pbe, -12.8900, -0.0000, -12.8900, 0.0000, 0.0000, -9.1526
C2H_scan0, -12.8492, -0.0000, -12.8492, -0.0000, -0.0000, -8.7912
C2H_scan, -12.8161, 0.0000, -12.8161, 0.0000, -0.0000, -8.8891
C2H_spw92, -12.9556, 0.0000, -12.9556, 0.0000, -0.0000, -9.1745
C2H_TPSS_aug-pc-4, -12.8267, 0.0000, -12.8267, 0.0000, 0.0000, -9.0617
C2H_wB97M-V_aug-pc-4, -13.0659, -0.0000, -13.0659, 0.0000, -0.0000, -9.1022
C2H_wB97X-D_aug-pc-4, -12.8571, -0.0000, -12.8571, 0.0000, -0.0000, -8.8602
C2H_wB97X-V_aug-pc-4, -12.9553, 0.0000, -12.9553, 0.0000, -0.0000, -8.9946
CH4_pbe0, -8.3892, 0.0000, -8.3892, 0.0000, 0.0000, -8.3892
CH4_pbe, -8.4888, 0.0000, -8.4888, 0.0000, -0.0000, -8.4888
CH4_scan0, -8.3417, 0.0000, -8.3417, -0.0000, -0.0000, -8.3417
CH4_scan, -8.3731, -0.0000, -8.3731, 0.0000, -0.0000, -8.3731
CH4_spw92, -8.5448, 0.0000, -8.5448, 0.0000, -0.0000, -8.5448
CN_B3LYP_aug-pc-4, -11.0789, -0.0000, -11.0789, 0.0000, -0.0000, -9.0071
CN_B97M-rV_aug-pc-4, -11.0227, -0.0000, -11.0227, -0.0000, -0.0000, -8.9149
CN_B97M-V_aug-pc-4, -11.0213, -0.0000, -11.0213, -0.0000, -0.0000, -8.9141
CN_M08-HX_aug-pc-4, -11.1346, 0.0000, -11.1346, -0.0000, 0.0000, -8.5804
CN_mPW91_aug-pc-4, -11.0129, -0.0000, -11.0129, -0.0000, 0.0000, -9.2569
CN_pbe0, -11.0262, 0.0000, -11.0262, 0.0000, 0.0000, -8.7435
CN_pbe, -11.0504, -0.0000, -11.0504, 0.0000, 0.0000, -9.3059
CN_scan0, -10.9902, -0.0000, -10.9902, -0.0000, 0.0000, -8.3806
CN_scan, -10.9646, 0.0000, -10.9646, 0.0000, 0.0000, -8.7756
