HF_hf_5z, -0.0000, -0.0000, 1.9215, 1.9215
HF_hf_dz, 0.0000, -0.0000, 1.9315, 1.9315
HF_hf_qz, -0.0000, -0.0000, 1.9219, 1.9219
HF_hf_tz, -0.0000, 0.0000, 1.9247, 1.9247
NH_hf_5z, 0.0000, 0.0000, 1.6329, 1.6329
NH_hf_dz, 0.0000, -0.0000, 1.6421, 1.6421
NH_hf_qz, 0.0000, 0.0000, 1.6326, 1.6326
NH_hf_tz, 0.0000, -0.0000, 1.6340, 1.6340
OH_hf_5z, 0.0000, -0.0000, -1.7572, 1.7572
OH_hf_dz, -0.0000, -0.0000, -1.7714, 1.7714
OH_hf_qz, 0.0000, -0.0000, -1.7574, 1.7574
OH_hf_tz, -0.0000, -0.0000, -1.7598, 1.7598
PH_hf_5z, 0.0000, 0.0000, -0.5129, 0.5129
PH_hf_dz, -0.0000, -0.0000, -0.5511, 0.5511
PH_hf_qz, -0.0000, 0.0000, -0.5130, 0.5130
PH_hf_tz, 0.0000, -0.0000, -0.5189, 0.5189
